('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         3099869 function calls (3069206 primitive calls) in 27.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      987    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      636    0.000    0.000    0.000    0.000 base_events.py:734(time)
     3120    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
      750    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       32    0.000    0.000    0.000    0.000 base_events.py:451(create_task)
     1416    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      196    0.000    0.000    0.002    0.000 typing.py:1519(__getitem__)
     2922    0.000    0.000    0.000    0.000 financial_enhanced.py:80(<lambda>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      539    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      255    0.000    0.000    0.000    0.000 typing.py:1609(__hash__)
       82    0.000    0.000    0.002    0.000 typing.py:746(Literal)
      424    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      544    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      209    0.000    0.000    0.029    0.000 _compiler.py:573(_code)
      198    0.000    0.000    0.000    0.000 base_events.py:447(create_future)
  231/189    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      320    0.000    0.000    0.001    0.000 _state.py:275(process_event)
     1338    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       50    0.000    0.000    0.009    0.000 traceback.py:221(extract_stack)
      149    0.000    0.000    0.001    0.000 base_subprocess.py:194(_call)
      500    0.000    0.000    0.004    0.000 traceback.py:318(line)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      432    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      247    0.000    0.000    0.001    0.000 linecache.py:52(checkcache)
      158    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
       52    0.000    0.000    0.007    0.000 _connection.py:109(_inner_send)
      158    0.000    0.000    0.032    0.000 _connection.py:273(<lambda>)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      153    0.000    0.000    0.006    0.000 typing.py:740(Optional)
      353    0.000    0.000    0.000    0.000 {built-in method sys.intern}
     1214    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      507    0.000    0.000    0.002    0.000 <frozen genericpath>:16(exists)
      791    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
   192/96    0.000    0.000    0.000    0.000 typing.py:3278(__getattribute__)
      203    0.000    0.000    0.001    0.000 {method 'set_result' of '_asyncio.Future' objects}
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      369    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
       86    0.000    0.000    0.001    0.000 selector_events.py:278(_add_reader)
      451    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      172    0.000    0.000    0.000    0.000 selectors.py:69(__getitem__)
      594    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      369    0.000    0.000    0.000    0.000 _connection.py:364(receive_data)
      209    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      510    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      498    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        2    0.000    0.000    0.005    0.002 _models.py:641(text)
     1278    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
      784    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    55/51    0.000    0.000    0.010    0.000 _connection.py:544(wrap_api_call)
      187    0.000    0.000    0.003    0.000 typing.py:1458(copy_with)
      360    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
       59    0.000    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
       86    0.000    0.000    0.000    0.000 {method 'register' of 'select.epoll' objects}
        1    0.000    0.000    0.002    0.002 _generated.py:7732(Page)
       40    0.000    0.000    0.003    0.000 _object_factory.py:51(create_remote_object)
        4    0.000    0.000    1.076    0.269 __init__.py:211(__init__)
      297    0.000    0.000    0.000    0.000 inspect.py:1727(__new__)
      181    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1347    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      185    0.000    0.000    0.001    0.000 <frozen _collections_abc>:811(__contains__)
      159    0.000    0.000    0.001    0.000 asyncio.py:46(emit)
      500    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
      539    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       52    0.000    0.000    0.001    0.000 tasks.py:435(wait)
     1690    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
       17    0.000    0.000    0.000    0.000 {built-in method _io.open}
      454    0.000    0.000    0.081    0.000 __init__.py:226(compile)
      551    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      188    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
