('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         2927509 function calls (2896612 primitive calls) in 38.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      137    0.000    0.000    0.002    0.000 streams.py:499(feed_data)
      272    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      255    0.000    0.000    0.000    0.000 typing.py:1609(__hash__)
      205    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
     1699    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       92    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      188    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
       78    0.000    0.000    0.002    0.000 typing.py:746(Literal)
       32    0.000    0.000    0.000    0.000 base_events.py:451(create_task)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
      274    0.000    0.000    0.002    0.000 typing.py:514(__getitem__)
     1267    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      187    0.000    0.000    0.000    0.000 base_events.py:447(create_future)
      396    0.000    0.000    0.198    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
  229/191    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       65    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      416    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      720    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      528    0.000    0.000    0.002    0.000 <frozen genericpath>:16(exists)
     1142    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       15    0.000    0.000    0.299    0.020 tokenize.py:445(open)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      145    0.000    0.000    0.005    0.000 typing.py:740(Optional)
      418    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      603    0.000    0.000    0.000    0.000 base_events.py:734(time)
        1    0.000    0.000    0.031    0.031 packages.py:1(<module>)
     1234    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      146    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
      188    0.000    0.000    0.001    0.000 <frozen _collections_abc>:811(__contains__)
      141    0.000    0.000    0.001    0.000 base_subprocess.py:194(_call)
      247    0.000    0.000    0.001    0.000 linecache.py:52(checkcache)
      749    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
  395/361    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.002    0.002 _generated.py:7732(Page)
      529    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       91    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      178    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       52    0.000    0.000    0.001    0.000 tasks.py:435(wait)
      807    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      460    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       17    0.000    0.000    0.000    0.000 {built-in method _io.open}
       80    0.000    0.000    0.001    0.000 selector_events.py:278(_add_reader)
       50    0.000    0.000    0.479    0.010 traceback.py:221(extract_stack)
      350    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      396    0.000    0.000    0.000    0.000 {built-in method sys.intern}
     1465    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
     1144    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
   192/96    0.000    0.000    0.000    0.000 typing.py:3278(__getattribute__)
       30    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
      192    0.000    0.000    0.001    0.000 {method 'set_result' of '_asyncio.Future' objects}
      297    0.000    0.000    0.000    0.000 inspect.py:1727(__new__)
     2422    0.000    0.000    0.000    0.000 financial.py:80(<lambda>)
       17    0.000    0.000    0.000    0.000 <frozen codecs>:1076(make_identity_dict)
       52    0.000    0.000    0.000    0.000 tasks.py:522(_wait)
      146    0.000    0.000    0.121    0.001 _connection.py:273(<lambda>)
       80    0.000    0.000    0.000    0.000 {method 'register' of 'select.epoll' objects}
      136    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      730    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      160    0.000    0.000    0.000    0.000 selectors.py:69(__getitem__)
      411    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
