Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
stock,1.0,0.0,0.3,0.0,0.0,6.8,4.5,0.0,0.0,0.2,0.1,0.2,0.1,1.1,0.0,2.8,5.8,7.4,2.2,0.5,28.7,0.0,6.6,4.5,0.0,1.7,0.5,1.8,6.4,2.3,0.0,0.0,0.0,3.1,1.3
strawberry,7.3,0.0,0.0,4.9,2.5,0.5,1.4,17.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
sugar snap pea,0.0,0.0,0.0,2.9,8.2,0.0,4.5,0.0,0.0,0.0,0.0,2.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0
sweet potato/yam,12.0,0.0,0.0,13.6,21.4,13.7,4.5,0.0,0.0,50.6,8.3,4.2,4.5,10.4,4.0,7.7,7.4,4.6,10.9,8.0,0.0,0.0,0.0,5.0,0.0,6.4,3.6,0.7,20.7,0.0,0.0,0.0,0.0,9.1,5.0
swiss cheese,33.5,0.0,29.0,1.6,0.0,8.5,52.2,0.0,0.0,0.0,0.0,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swordfish,8.5,0.0,22.0,0.0,0.0,3.5,39.4,0.0,69.5,4.0,0.0,0.4,2.1,13.5,0.1,6.2,4.1,48.5,31.9,0.5,70.8,0.0,7.0,20.4,0.0,6.9,6.0,104.4,4.3,0.5,0.0,0.0,0.0,8.9,11.8
tamarind,0.8,0.0,0.0,22.7,18.2,1.2,5.6,0.0,0.0,0.2,3.9,5.7,15.6,0.7,2.3,35.7,11.7,12.1,3.9,3.5,0.0,0.0,0.0,9.0,0.0,21.9,0.9,2.4,9.6,0.0,0.0,0.0,0.0,13.4,1.6
tangerine,0.4,0.0,0.0,4.8,6.4,0.1,1.6,0.0,0.0,3.8,29.7,2.8,0.8,1.3,0.0,4.8,2.8,2.4,4.6,4.0,0.0,0.0,4.3,1.6,0.0,2.9,0.6,0.2,4.7,1.7,0.0,0.0,0.0,3.5,1.9
tapioca,0.0,0.0,0.0,32.3,3.2,0.0,0.4,0.0,0.0,0.0,0.0,1.5,8.8,0.0,0.0,0.3,0.0,0.0,0.5,1.0,0.0,0.0,2.7,0.6,0.0,0.2,1.1,1.5,2.2,4.8,0.0,0.0,0.0,0.2,0.2
tarragon,9.3,0.0,0.0,18.3,26.4,2.7,45.6,0.0,0.0,23.3,55.6,87.7,179.4,0.0,0.0,20.9,103.1,55.9,141.8,68.5,0.0,0.0,0.0,25.0,0.0,82.6,35.5,8.0,75.2,346.5,0.0,0.0,0.0,64.3,0.0
